article-number,authkeywords,citedby-count,dc:creator,dc:description,dc:identifier,dc:title,eid,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,pii,prism:aggregationType,prism:coverDate,prism:doi,prism:isbn,prism:issn,prism:issueIdentifier,prism:pageRange,prism:publicationName,prism:url,prism:volume,pubmed-id,subtype,subtypeDescription
,DMAIC | Mould | Press Brake Process | Quality Improvement | Wrong Dimension,0,Curbano R.,"© BEIESP. ABC Corporation is a Taiwanese company that manufactures metal, other related products, and industry in need of thin sheet metal fabrication. The main objective of the study is to improve the M450G1010Z08 that occurred in press brake section, which is the primary problem of the company. The researchers used the Six Sigma Methodology as a technique of reducing quality issues. The research design used in the study is applied research. Based on the result of the study, the researchers found out through stratification process that the main problem was the wrong dimension of M450G1010Z08. In the measure phase, the researchers measured the wrong dimension defects using binomial process capability, which resulted in processing Z value of 1.08, indicating the process is not capable. In the analyze phase, researchers found out that the root cause of the problem is the open size of mould that exceeds 0.20 mm in the front side. In the improve phase, the procedure for modification of mould was done to meet the project target from 14.12% to 4%. After the implementation, the researchers found out that the wrong dimension of M450G1010Z08 was reduced from 14.12% to 2.12%. Also, the process Z increased from 1.08 to 2.03 and investigated that the process performance is capable after the implementation of the improvement. The improvement was done to improve work instruction for modification of the open size of the mould.",SCOPUS_ID:85071488920,Quality improvement in XY process at ABC corporation,2-s2.0-85071488920,,undefined,,1,True,,Journal,2019-04-01,10.35940/ijitee.F1271.0486S419,,,6 Special Issue 4,1338-1343,International Journal of Innovative Technology and Exploring Engineering,https://api.elsevier.com/content/abstract/scopus_id/85071488920,8,,ar,Article
,ICT | POI | Recommender | Smart tourism,0,Maestro N.,"© BEIESP. The Philippine tourism industry is expected to grow with more tourists visiting and through the discovery, development, and improvement of tourist attractions. Through partnerships with the local government and media developer groups, there have been implementations of e-Tourism in the country. Though e-Tourism is an effective way of tourism promotion, smart tourism offers a more innovative way such that it enhances the tourist experience through anticipation of their needs through smart recommendations of points of interests, attractions and services while sharing their experiences to aid other tourists’ decision making on which places to visit. Smart tourism is a fundamental need for such cities or municipalities which have historical value and tourist attractions. Due to this, the study aims at creating a smart tourism destination framework that would be applicable to the current information and communications infrastructure of the Romblon Islands. A smart tourism mobile application will be developed that would feature a Point of Interest Recommender based on user’s location, check-in ratings, and social network ratings. Augmented reality and near field communication will be used to bridge the physical and digital world. The application’s acceptance will be investigated using the Unified Theory of Acceptance and Use of Technology.",SCOPUS_ID:85069872270,"Romblon islands into a smart tourism destination through point of interest recommender, augmented reality and near field communication: A proposal",2-s2.0-85069872270,,undefined,,0,False,,Journal,2019-04-01,,,,6 C2,242-247,International Journal of Innovative Technology and Exploring Engineering,https://api.elsevier.com/content/abstract/scopus_id/85069872270,8,,ar,Article
,Learning management systems | Quipper school | Senior high school | Technical vocation livelihood | Understanding culture society and politics,0,Adefuin M.,"© BEIESP. The research aimed to integrate Learning Management System(LMS) in facilitating class in Understanding Culture, Society and Politics (UCSP) subject to Technical Vocational Livelihood(TVL) senior high school (SHS) students. A quantitative, descriptive approach was used in the study and measured pre-test-post-test using the exam scores of the students. Quipper School was considered as LMS in doing the study. The created online class for students was designed to support the curriculum of UCSP subject. The statistical reports generated by Quipper School were considered as data for analysis. Interviews and direct observation of the subject teacher was also considered. The results show that all students were able to access LMS. The issues with internet connectivity, limited computer availability and distance of classroom to computer laboratory contributed to the length of access of the students to LMS. The computed mean value of 13.28 or 18.98% topics completed and a computed mean value of 8.03 or 11.48% topics mastered by the students based on the assignments given in the LMS were recorded. It was found out that there is an increase rate of 6.38% improvement to exam score of the students after the integration of LMS to the students.",SCOPUS_ID:85069823305,Integration of learning management system (LMS) in facilitating class in understanding culture society and politics (UCSP) subject to technical vocational livelihood senior high school (TVL-SHS) students,2-s2.0-85069823305,,undefined,,0,False,,Journal,2019-04-01,,,,6 C2,235-239,International Journal of Innovative Technology and Exploring Engineering,https://api.elsevier.com/content/abstract/scopus_id/85069823305,8,,ar,Article
,Analytic Hierarchy Process | Faculty Performance Assessment | Recommendation Support | Web-based Faculty Evaluation,0,Celis J.,"© BEIESP. The performance appraisal system including methods and procedures used in Colleges and Universities are continuously re-examined, reviewed, and revised to fit their purposes and effectiveness in promoting faculty development, productivity, giving of incentives and decisions on personnel actions. This study aims to develop and offer an alternative system of evaluation process for faculty members. Specifically, this study focused on the development of the Web-based Faculty Evaluation with Recommendation Support Module using Analytic Hierarchy Process Algorithm which may give efficient way of evaluating faculty performance. The AHP algorithm was applied for shrewd analysis of the necessary recommendations needed for performance improvement of the faculty member, but it is still subjected to consideration of the decision maker. This research used the descriptive and developmental methods as this involved development and survey of its acceptability. The findings of the study showed that the overall assessment of the system yielded (n=379, M=4.6) with a interpretation as “Strongly Acceptable”. This implies that the developed system address problems met on the existing evaluation process with all the methodologies used especially with the aide of AHP. We are hopeful that with this, the University management will improve its faculty development program.",SCOPUS_ID:85069230081,Web-based faculty evaluation with recommendation support module using analytic hierarchy process algorithm,2-s2.0-85069230081,,undefined,,0,False,,Journal,2019-04-01,,,,6 C2,204-209,International Journal of Innovative Technology and Exploring Engineering,https://api.elsevier.com/content/abstract/scopus_id/85069230081,8,,ar,Article
8743986,Behavioral rules | Cooperative Search | Intelligent Transportation System,0,Magsinoy E.,"© 2019 IEEE. In the near future, Intelligent Transportation Systems will integrate autonomous vehicles and roadside infrastructures in the current urban road setup to collect environment data and then disseminate the information to surrounding vehicles for road safety, traffic convenience, and travel comfort. Autonomous vehicles, individually, can perform traffic-specific tasks to accomplish certain objectives, such as exploring for unknown or unmapped road sections and searching for road accidents. In this work, a cooperative search algorithm based on behavioral rules are used to direct PBOT (no acronym definition) mobile robots to cooperatively search road accidents in the city. The PBOTs, emulating autonomous vehicles, follow a hierarchical set of behavioral rules to achieve a cooperative search and uses the cellular network for communication and data exchange among PBOTs. PBOTs are programmed to follow random and deterministic paths in sensing the urban grid map. Results show that deterministic paths provide lesser exploration time, but may not be realistically viable. On the other hand, the network delay is affected by both the number of PBOTs and change in the urban map size.",SCOPUS_ID:85069167315,Cooperative vehicles for monitoring urban roads based on behavioral rules,2-s2.0-85069167315,,undefined,,0,False,,Conference Proceeding,2019-04-01,10.1109/ISCAIE.2019.8743986,"[{'@_fa': 'true', '$': '9781538685464'}]",,,103-107,ISCAIE 2019 - 2019 IEEE Symposium on Computer Applications and Industrial Electronics,https://api.elsevier.com/content/abstract/scopus_id/85069167315,,,cp,Conference Paper
8743803,Consolidated Weighted Mean Approach | Empirical Taxi GPS Traces | RSU Deployment,0,Magsino E.,"© 2019 IEEE. The city infrastructure is an integral part of vehicular ad-hoc networks and intelligent transportation systems. One of the key infrastructures is the roadside unit (RSU) which can vastly improve the efficiency and coverage of data dissemination and information exchange in the vehicular network when deployed judiciously. RSU can also provide real-time traffic control, safety and road services to drivers. In this paper, we study how to strategically deploy RSUs in candidate junctions in a city layout by employing findings from taxi GPS traces such as the total daily number of vehicle-to-infrastructure (V2I) contacts, transmissions, transmitted file size, and the average space speed. A Consolidated Weighted Mean Approach, ConsWMA, based from four practical methods for deploying RSUs, is proposed to maximize the amount of V2I contacts. We observe that these mobility traces' findings, when set as deployment criteria, can reduce the needed number of RSUs to be deployed and the missing V2I contacts. Simulation results show that when nine out of the 40 possible RSU locations are allocated in the first two rings of Beijing City, a 95% daily average V2I contacts is attained, thereby making information dissemination feasible. ConsWMA also provides at least 11% more V2I contacts when compared to two other deployment methods.",SCOPUS_ID:85069158549,Employing mobility traces' findings in deploying roadside units in an urban setup,2-s2.0-85069158549,,undefined,,0,False,,Conference Proceeding,2019-04-01,10.1109/ISCAIE.2019.8743803,"[{'@_fa': 'true', '$': '9781538685464'}]",,,97-102,ISCAIE 2019 - 2019 IEEE Symposium on Computer Applications and Industrial Electronics,https://api.elsevier.com/content/abstract/scopus_id/85069158549,,,cp,Conference Paper
8741454,Avatar | Hologram | Mimicking | Modeling | Projection | Real-Time,0,Arcao J.,"© 2019 IEEE. Non-realistic avatar and environment representations are widely used since it's faster and more economical to produce while requiring less computational. With the absence of important behavioral cues, it resulted in low level of interaction that is acquired by the user and the viewer/s. This paper focuses on creating a 3D realistic avatar that mimics real-Time human body motion. Mimicking the human body motion of the 3D Avatar is possible through the use of Kinect V2 where a 3D model can follow the movement of the person standing in front of the Kinect sensor. The system is also equipped with a projector, two mobile devices, speaker and a pyramid hologram that should provide a 3D hologram display.",SCOPUS_ID:85068728734,Holographic Projection of 3D Realistic Avatar That Mimics Human Body Motion,2-s2.0-85068728734,,undefined,,0,False,,Conference Proceeding,2019-04-01,10.1109/ICIICT1.2019.8741454,"[{'@_fa': 'true', '$': '9781728116044'}]",,,,"Proceedings of 1st International Conference on Innovations in Information and Communication Technology, ICIICT 2019",https://api.elsevier.com/content/abstract/scopus_id/85068728734,,,cp,Conference Paper
,Information system | Tourist-guide web application | Travel guide | Web application,0,Gealon D.,"© 2019, Blue Eyes Intelligence Engineering and Sciences Publication. All rights reserved. The province of Cebu is an ideal destination for tourists whether local or international, making it one of the most sought vacation spots in the country. Its variety of tourist spots indicate that Cebu has a lot to offer that tourists ought to discover. Since so much about Cebu has made the rounds in a variety of media, it is in this aspect that information gathering has been confusing and inefficient. The goal is to provide tourists up-to-date and accurate information in a centralized platform. For this study, a web-based application was developed which provided all necessary information and tools that can be used by tourists to plan and organize their trip, locate tourist spots and visit the areas in the province of Cebu. The satisfactory result of 3.9 for User Acceptance Testing show that it has met the goal of creating a travel-guide web application. The system creates more opportunities for Cebu’s tourism industry to expand their reach and engagement to local and foreign tourists alike.",SCOPUS_ID:85068579117,2Cebu: A travel guide web application for assisting tourists in the province of Cebu,2-s2.0-85068579117,,undefined,,0,False,,Journal,2019-04-01,,,,6,80-82,International Journal of Innovative Technology and Exploring Engineering,https://api.elsevier.com/content/abstract/scopus_id/85068579117,8,,ar,Article
8726896,knowledge base | mobile application | natural language processing | question answering | scheduling,0,Sanchez K.,"© 2019 IEEE. This paper provides a tool that aids users for remembering and recovering information on a mobile application, named RECall. The user can record his knowledge like schedules, medications or other information through the app and he can retrieve them by asking questions. Question answering (QA) aims to answer a natural language question. The challenge, however, is how to deal with the same questions that have different ways of expressing it. Knowledge-based question answering makes use of a knowledge base (KB) as an information source where the data is structured. Structuring the knowledge representation will be essential for generating answers later on, which is done by information extraction (IE), for a knowledge base containing logs, schedules, and medications of the user, for this study. The question answering focuses an open domain, and it uses keyword-based, synonym-based, and rule-based approaches. While, scheduling (SCH) allows adding schedule, time-based moving schedule, entity-based or time-based canceling schedule, and recording medication with calendar app integration. Given a dataset of 100 knowledge and 100 questions, the question answering evaluated about 79% accuracy for classifying correct, incorrect, and null answers out of 95 valid questions, with 53% and above precision, recall, and F-measure. Although there are more rules constructed upon resolving rules in conflict, with a solid foundation and combining other approaches, it leaves the possibility of being open to more cases. Nevertheless, the study has achieved its purpose to develop a mobile application for scheduling and question answering systems with Representational State Transfer (REST) web services.",SCOPUS_ID:85067931119,RECall: A Scheduling System and Question Answering System with User Knowledge Base on a Mobile Application for Remembering and Recovering information,2-s2.0-85067931119,,undefined,,0,False,,Conference Proceeding,2019-04-01,10.1109/ICCET.2019.8726896,"[{'@_fa': 'true', '$': '9781728114392'}]",,,134-138,"2019 2nd International Conference on Communication Engineering and Technology, ICCET 2019",https://api.elsevier.com/content/abstract/scopus_id/85067931119,,,cp,Conference Paper
1786,Bioactive peptides | BIOPEP-UWM database | Chlorella sorokiniana | In silico | Nano liquid chromatography tandem mass spectrometry (nanoLC | NanoESI MS/MS) | Proteomics,2,Tejano L.,"© 2019 by the authors. Licensee MDPI, Basel, Switzerland. Chlorella is one of the most nutritionally important microalgae with high protein content and can be a good source of potential bioactive peptides. In the current study, isolated proteins from Chlorella sorokiniana were subjected to in silico analysis to predict potential peptides with biological activities. Molecular characteristics of proteins were analyzed by sodium dodecyl sulfate polyacrylamide gel electrophoresis (SDS-PAGE) and proteomics techniques. A total of eight proteins were identified by proteomics techniques from 10 protein bands of the SDS-PAGE. The predictive result by BIOPEP’s profile of bioactive peptides tools suggested that proteins of C. sorokiniana have the highest number of dipeptidyl peptidase-IV (DPP IV) inhibitors, with high occurrence of other bioactive peptides such as angiotensin-I converting enzyme (ACE) inhibitor, glucose uptake stimulant, antioxidant, regulating, anti-amnestic and antithrombotic peptides. In silico analysis of enzymatic hydrolysis revealed that pepsin (pH > 2), bromelain and papain were proteases that can release relatively larger quantity of bioactive peptides. In addition, combinations of different enzymes in hydrolysis were observed to dispense higher numbers of bioactive peptides from proteins compared to using individual proteases. Results suggest the potential of protein isolated from C. sorokiniana could be a source of high value products with pharmaceutical and nutraceutical application potential.",SCOPUS_ID:85064844637,Prediction of bioactive peptides from chlorella sorokiniana proteins using proteomic techniques in combination with bioinformatics analyses,2-s2.0-85064844637,,106-2311-B-019-001,"Ministry of Science and Technology, Taiwan",1,True,,Journal,2019-04-01,10.3390/ijms20071786,,16616596,7,,International Journal of Molecular Sciences,https://api.elsevier.com/content/abstract/scopus_id/85064844637,20,30978907.0,ar,Article
,,0,Kim J.,,SCOPUS_ID:85061744782,Cloud Networking Computing,2-s2.0-85061744782,,undefined,,1,True,,Journal,2019-03-30,10.1007/s11277-019-06152-0,,09296212,2,399-404,Wireless Personal Communications,https://api.elsevier.com/content/abstract/scopus_id/85061744782,105,,ed,Editorial
,Hemapathology | Image stitching | Malaria | Speed-Up robust feature | Telemedicine,0,Garcia Ramon G.,"© 2019 Association for Computing Machinery. Hematology is the study of diseases and disorders causing irregularities in blood cells. Hematology is used to determine the irregularities in the blood cell containing different parasites ranging from mild to severe symptoms. Malaria has been found to be the 9th leading cause of death in the country. Malaria is caused by a bite of an Anopheles mosquito, an infected mosquito carrying a virus called Plasmodium parasite that will then be released onto a person’s blood stream. The general objective of this study is to detect blood parasite from sample blood smears. This study is obtrusive and the device requires a blood sample to be tested, the researchers let expert medical doctors and laboratorians to take the blood from the patients. In hope of helping the telemedicine in the Philippines the device is able to capture images from the microscope and designed an algorithm that will process the captured images stitching it into one whole image. In addition, the device can output if the blood sample is positive or negative based on the dominant color seen from the images. The prototype is designed to replace the analytics of a skilled hematologist in rural cases whereas shortage in experts is a major problem.",SCOPUS_ID:85069232840,Modification of optical compound microscope to detect malaria blood parasites using Wright-Giemsa staining process with surf based stitching,2-s2.0-85069232840,,undefined,,0,False,,Conference Proceeding,2019-03-28,10.1145/3326172.3326194,"[{'@_fa': 'true', '$': '9781450361309'}]",,,125-129,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85069232840,,,cp,Conference Paper
,,0,Cruz F.,"© 2019 Association for Computing Machinery. With the continuous increase in number of people suffering from diabetes, the demand of a device that can noninvasively monitor blood glucose level has been greater. The goal of the study is to develop a device that can monitor the blood glucose level that would not cause any discomfort to the patients by utilizing reflectance mode photoplethysmography equipped with a filtering technique, Moving Average filter. Initially, the device prompts the user to choose from two categories depending on his condition: diabetic or non-diabetic, and then would choose between the two modes: fasting or post meal mode. The parameters utilized in the study are the force in Newton (N) which corresponds to the applied pressure on the finger, the peak-to-peak voltage (V) of the photopletyhsmography signal, and lastly, the blood glucose level measured in milligram per deciliter (mg/dL). The force is acquired using a force sensitive resistor that is incorporated in the ring. The suggested device employs a photoplethysmography sensor which can diagnose variations on microvascular bed of tissue. The variations in the distribution of blood volume have a significant relation with the measurement of blood glucose level. The technique used to estimate the photoplethysmography in terms of peak-to-peak voltage is the Moving Average filter, and the result is then compared to that of the OneTouch glucometer and Fasting Plasma Glucose. From the results acquired, two.",SCOPUS_ID:85069214541,Application of reflectance mode photoplethysmography for non-invasive monitoring of blood glucose level with moving average filter,2-s2.0-85069214541,,undefined,,0,False,,Conference Proceeding,2019-03-28,10.1145/3326172.3326190,"[{'@_fa': 'true', '$': '9781450361309'}]",,,22-26,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85069214541,,,cp,Conference Paper
,Blood pressure | Body fat percentage | Hypertension | Independent component analysis | Metabolic syndrome,0,Ariones K.,"© 2019 Association for Computing Machinery. Medical devices diagnose or monitor internal conditions to aid in early detection, which is a huge help in saving the lives of patients. There are underlying factors that affect a person’s body if a disease is present. These diseases may have an impact on the different parameters of the human body. The combination of high and low values of these body parameters may lead to a certain chronic disease. Some examples of chronic diseases include hypertension and metabolic syndrome. In this paper, the researchers were able to obtain the blood pressure reading by getting pulse rate and pulse transit which will be obtained from ATMega328 clock of the Gizduino Mini. The percentage of the body fat can be derived using the principle of bioelectrical impedance analysis wherein an alternating current will flow between two electrodes attached to the surface of the skin to determine its corresponding impedance. The acquired data from the sensors passes through the computational technique of independent component analysis, wherein it separates the data from several sensors. There were 16 test subjects, whose ages are within the range of 55-65 years old. Confusion matrix was used in order to obtain the overall accuracy of the device. The best accuracy value is 1. The researchers obtained an accuracy value of 0.8125. By getting the absolute value of the difference of 1, 0 and the obtained value, it depicts that the obtained value is closer to 1 due to its difference of 0.2 compared to 0 which is 0.8. Hence, the spectral signal acquisition device provided accurate results in comparison with the clinical values.",SCOPUS_ID:85069212825,Acquisition of spectral signals for determination of chronic disease to syndrome using independent component analysis,2-s2.0-85069212825,,undefined,,0,False,,Conference Proceeding,2019-03-28,10.1145/3326172.3326204,"[{'@_fa': 'true', '$': '9781450361309'}]",,,78-82,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85069212825,,,cp,Conference Paper
,Embedded systems | LabView | NI myRIO,0,Amora J.,"© 2019 Association for Computing Machinery. Embedded system is an emerging technology that can be applied to all areas. In this paper, the embedded system is designed to be used for easily interpreting the signals of the electrochemical immunosensor. NI myRIO was used as the key component of the embedded system. LabView was used to design the block diagram of the system. This paper is only limited to the design of the embedded circuits. The signals coming from the electrochemical immunosensor was mimic by inputting low voltage level similar to the output of the immunosensor. Based on the given threshold voltage level the system successfully interpret the presence of disease.",SCOPUS_ID:85069207373,Design of embedded system for electrochemical immunosensor using Ni Myrio,2-s2.0-85069207373,,undefined,,0,False,,Conference Proceeding,2019-03-28,10.1145/3326172.3326215,"[{'@_fa': 'true', '$': '9781450361309'}]",,,18-21,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85069207373,,,cp,Conference Paper
,Blood cell counter | Canny Edge Detection | Circular Hough | Microscopic | RBC | Urine | WBC,0,Dela Cruz J.,"© 2019 Association for Computing Machinery. Traditional counting of red blood cells (RBC) and white blood cells (WBC) in a urine sample is done manually by a medical technologist. However, this makes the blood cell count subjective to the skill of the laboratory technician and will take much longer time in doing the task. This paper proposes the use of image processing in counting the WBCs and RBCs in a urine sample through use of Canny Edge Detection and Circular Hough Transform algorithm. The process consists of two (2) main parts. First is the Canny Edge Detection and the final part is Circular Hough Transform algorithms. It shows that the proposed system has a percentage accuracy of at least 93.229% in reference to the actual RBC and WBC count result.",SCOPUS_ID:85069197560,Microscopic image analysis and counting of red blood cells and white blood cells in a urine sample,2-s2.0-85069197560,,undefined,,0,False,,Conference Proceeding,2019-03-28,10.1145/3326172.3326185,"[{'@_fa': 'true', '$': '9781450361309'}]",,,113-118,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85069197560,,,cp,Conference Paper
,Peak-to-peak voltage | Photoplethysmography | Reflectance mode,0,Cruz F.,"© 2019 Association for Computing Machinery. This paper presents a circuit design which can capture photoplethysmography signal and estimate its peak-to-peak voltage reading with the aid of an Arduino microcontroller. Photoplethysmography is a non-invasive optical technique used to detect blood volume changes in the microvascular bed of tissue. With this technique, common health-related factors like heart rate reading, blood pressure reading, and blood glucose level can be measured. The proposed circuit design uses a CNY70 reflectance photoplethysmography sensor and an SEN-09673 force sensitive resistor to determine the force applied on the finger strap that can be worn on any of the proximal phalanges of the user. An algorithm referred to as Moving Average Filter is applied to estimate the photoplethysmography signal in terms of peak-to-peak voltage.",SCOPUS_ID:85069188663,Photoplethysmography circuit design for peak-to-peak voltage monitoring via arduino uno with moving average filter,2-s2.0-85069188663,,undefined,,0,False,,Conference Proceeding,2019-03-28,10.1145/3326172.3326191,"[{'@_fa': 'true', '$': '9781450361309'}]",,,6-12,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85069188663,,,cp,Conference Paper
,Customer satisfaction | Emotion recognition | Facial expression recognition | Food industry | Image processing,0,Balbin J.,"© 2019 Association for Computing Machinery. Customer satisfaction is one of the main determinants in the success of a business or establishment. In food chains and restaurants, the food taste plays a major role in customer satisfaction. Different technologies are being adapted by businesses in order to improve the customer experience and provide ease to their employees but there is still no available alternative method which can obtain customer satisfaction for food taste automatically while being non-intrusive. To address the problem, this research aims to provide a device which can analyze customer satisfaction based on the taste-induced facial expressions and in real-time. For the facial expression recognition, Affdex SDK was used. The Affdex SDK is known for its reliability in emotion recognition due to its large and spontaneous facial dataset. The accuracy shown in the results indicates the effectiveness of this study. This device can benefit the food industry with its ease-of-use and real-time results.",SCOPUS_ID:85069181875,Augmented Reality Aided Analysis of Customer Satisfaction based on Taste-Induced Facial Expression Recognition Using Affdex Software Developer’s Kit,2-s2.0-85069181875,,undefined,,0,False,,Conference Proceeding,2019-03-28,10.1145/3326172.3326221,"[{'@_fa': 'true', '$': '9781450361309'}]",,,204-209,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85069181875,,,cp,Conference Paper
,Differential count | Natural neighbor interpolation | Spatial interpolation,0,Sampedro G.,"© 2019 Association for Computing Machinery. This paper focuses on the use of a method of spatial interpolation to analyze microscopic slides of an Olympus CX21. The method used natural neighbor interpolation (NNI), that entails the analysis of random pre-determined points to interpolate and analyze the slide as a whole [1], [2]. The flood-fill algorithm was used to perform a differential count in conjunction with NNI to analyze samples of cells infected with Malaria. After analyzing selected random points, a summary of the whole slide may be produced. The results of the various tests yielded a percent difference of no more than 20% for the application of NNI.",SCOPUS_ID:85069178830,Rapid microscopic analysis using natural neighbor interpolation,2-s2.0-85069178830,,undefined,,0,False,,Conference Proceeding,2019-03-28,10.1145/3326172.3326218,"[{'@_fa': 'true', '$': '9781450361309'}]",,,166-169,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85069178830,,,cp,Conference Paper
,Central corneal light reflex test | Esotropia | Exotropia | Hirschberg test | HOCORC | OpenCV-Python | Raspberry pi | Strabismus,0,Yumang A.,"© 2019 Association for Computing Machinery. The study is centered around creating a system that uses digital image processing via OpenCV-Python and the central corneal light reflex (CCLR) test, or Hirschberg test, as the basis for HOCORC. This is an algorithm that would determine whether patients have strabismus and what type of strabismus found, whether esotropia or exotropia. CCLR processing of HOCORC resulted in an accuracy of 97.5% and an error rate of 2.5% for the detection of strabismus of patients. HOCORC produced an accuracy of 97.5% and an error rate of 2.5% for strabismus classification. These results indicate that the system using the proposed HOCORC algorithm is a viable means of detecting and classifying strabismus.",SCOPUS_ID:85069171148,Strabismus classification using digital image processing and horizontal coordinate classification algorithm,2-s2.0-85069171148,,undefined,,0,False,,Conference Proceeding,2019-03-28,10.1145/3326172.3326200,"[{'@_fa': 'true', '$': '9781450361309'}]",,,136-141,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85069171148,,,cp,Conference Paper
,Color histogram | Eczema | Hives | Local binary pattern | Psoriasis | RGH-HSV color space | Skin disease | Support vector machine,0,Dela Cruz J.,"© 2019 Association for Computing Machinery. This paper uses a system that can recognize and detect skin diseases such as hives, eczema and psoriasis and provide temporary relief using RGH-HSV Color Space, Local Binary Pattern, Color Histogram and Support Vector Machine (SVM). These algorithms were used to train images for the testing process of the system. For the controlled testing the researchers gathered 30 images for each disease, eczema, hives and psoriasis, from dermnet.com and images from people that have been already diagnosed with the mentioned diseases in both training the prototype and testing the system’s accuracy. The system identifying eczema, hives, and psoriasis have the following accuracies respectively, 96.0560%, 95.8041%, and 98.5609%.",SCOPUS_ID:85069168374,"Eczema, hives and psoriasis detection with the application of local binary pattern, color histogram, SVM and RGB-HSV color space",2-s2.0-85069168374,,undefined,,0,False,,Conference Proceeding,2019-03-28,10.1145/3326172.3326217,"[{'@_fa': 'true', '$': '9781450361309'}]",,,160-165,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85069168374,,,cp,Conference Paper
,Autofocus | Automated slide adjuster | Image stitching | Microscopy | SIFT | Urine | Variance of Laplacian,0,Dela Cruz J.,"© 2019 Association for Computing Machinery. Urine microscopy is a tedious task that requires utmost care from the technician doing the job. In order to provide clearer images for accurate interpretation of urine samples, microscopic images must be properly focused. Likewise, it is essential for the technician to avoid contamination with the urine sample when doing the task, especially in the course of the disease. Less human handling to prevent the spread of infectious diseases must also be exercised. This study emphasizes the use of autofocus on a compound microscope and implementation of automated microscope slide adjuster with image stitching through use of Variance of Laplacian method and Scale Invariant Feature Transform (SIFT), respectively.",SCOPUS_ID:85069162492,Automated urine microscopy using scale invariant feature transform,2-s2.0-85069162492,,undefined,,0,False,,Conference Proceeding,2019-03-28,10.1145/3326172.3326186,"[{'@_fa': 'true', '$': '9781450361309'}]",,,119-124,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85069162492,,,cp,Conference Paper
,Compass gait analysis | Flex bending | Force pressure | Pateros | Philippine Mallard ducks | Synopsys,0,Paglinawan A.,"© 2019 Association for Computing Machinery. Compass gait analysis was designed to describe the walking of ducks in simplest form and was used to standardize the determination of ducks’ lay status from its acceleration, bending displacement and downward force of the duck’s limb. The gait analysis consists of a Personal computer (PC), SD card modules, Arduino microcontrollers and Excel for computations. The SD card modules with the force pressure, flex bending sensor and accelerometer were attached on the body of the ducks, directly underneath their wings. The study investigated how the laying status affects the movements mainly based on the gathered numerical data.",SCOPUS_ID:85069156712,System design in determining the lay status of ducks through gait analysis,2-s2.0-85069156712,,undefined,,0,False,,Conference Proceeding,2019-03-28,10.1145/3326172.3326195,"[{'@_fa': 'true', '$': '9781450361309'}]",,,107-112,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85069156712,,,cp,Conference Paper
,Ammonia | Breath | Electronic nose | Pentane | Schizophrenia | Support vector machine | Volatile organic compounds,1,Leal R.,"© 2019 Association for Computing Machinery. Schizophrenia is a chronic brain disorder that is considered as the top mental illness in the Philippines. When schizophrenia is not prevented, especially on early stage more complications on the brain functionality is affected due to the deterioration of gray matter or brain tissues. Breath Analysis using electronic nose (e-nose) is a non-invasive and easy to use method of detection in providing information for many illnesses. This paper examines and measures the concentration of pentane, ammonia and other volatile organic compounds (VOCs) in determining schizophrenia using breath analysis. The preliminary performance of the electronic nose has been demonstrated on 10 breath samples from a subject that has schizophrenia than in healthy individual subject which has found out that the e-nose can discriminate the patterns of VOCs from these two groups. Confusion matrix was used to show the accuracy of the system in detecting schizophrenia. This study uses support vector machine for classification and achieving the accuracy of 80% of classifying schizophrenic and non-schizophrenic subjects.",SCOPUS_ID:85069149922,Determination of schizophrenia using electronic nose via support vector machine,2-s2.0-85069149922,,undefined,,0,False,,Conference Proceeding,2019-03-28,10.1145/3326172.3326212,"[{'@_fa': 'true', '$': '9781450361309'}]",,,13-17,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85069149922,,,cp,Conference Paper
